A	((1,5),(((2,4),8),9),((3,7),6))
B	((((1,9),(4,(5,8))),(6,7)),2,3)
B	((1,5),(2,4),3)
B	(((1,6),7),(2,(4,5)),3)
B	((((1,6),7),5),((2,8),4),3)
A	(1,2,((((3,6),4),5),7))
A	(1,2,((3,5),4))
A	((1,7),((2,6),5),((3,8),4))
A	((1,6),2,((3,((4,7),9)),(5,8)))
A	((1,5),2,(3,4))
A	((1,4),2,(3,5))
A	((1,6),((2,4),5),3)
B	(1,(2,(4,5)),(3,((6,8),7)))
A	(1,2,(3,4))
A	(((1,((4,7),5)),8),2,(3,6))
A	((1,9),((2,5),4),((3,(6,8)),7))
B	(1,(2,8),((((3,6),4),5),7))
B	(((1,7),8),(2,6),((3,5),4))
A	((1,5),(2,4),3)
B	((1,(4,6)),(2,5),3)
A	(((1,5),(4,7)),(2,6),3)
A	(1,(2,9),((((3,5),6),(4,8)),7))
B	(1,(((2,((6,7),8)),4),5),3)
A	(1,(2,(4,5)),3)
A	(1,((2,4),5),(3,6))
B	(1,(2,5),(3,4))
A	(((1,(4,6)),7),(2,5),3)
B	((((1,6),4),5),2,3)
B	(1,2,(((3,6),5),4))
A	(1,2,(((((3,7),9),(4,6)),8),5))
B	(1,(((2,8),((4,7),5)),6),3)
A	((1,(4,(5,(7,8)))),((2,9),6),3)
B	((1,4),(((((2,9),5),8),6),7),3)
A	(((((1,8),6),5),4),((2,9),7),3)
A	(1,(2,6),(3,(4,5)))
A	((1,6),2,(((((3,7),8),9),4),5))
B	((1,7),((((2,6),5),8),4),3)
B	(1,(2,4),(((3,8),7),(5,6)))
B	(((1,((5,7),8)),6),(2,4),3)
A	(((1,7),4),(2,(5,6)),3)
A	(1,((2,5),4),3)
B	((1,4),(2,5),((3,7),(6,(8,9))))
A	(1,(((2,(((5,6),7),9)),8),4),3)
A	((1,(4,5)),2,3)
A	(1,((2,5),((4,6),(7,8))),3)
A	(1,2,((3,4),5))
A	(1,(2,4),3)
B	((1,4),2,3)
B	((1,(5,6)),2,(3,4))
A	(((1,5),4),2,3)
A	((1,4),2,3)
A	(1,((2,(4,5)),(6,7)),3)
A	((1,((4,5),6)),2,3)
A	((1,4),(2,5),3)
A	(1,((2,4),6),(((3,8),5),7))
B	(1,(((2,6),7),(4,5)),3)
B	((((((1,9),6),8),7),4),2,(3,5))
B	((1,4),2,((((3,6),7),(5,9)),8))
B	(1,2,((3,5),4))
B	(1,((2,6),4),(3,5))
A	((1,4),2,(((3,((6,9),7)),5),8))
B	((1,8),((2,4),5),((3,6),7))
B	(1,(((2,4),6),5),3)
B	((1,4),((((2,7),8),6),5),3)
A	(((1,4),5),2,3)
A	(1,(2,5),(3,4))
A	(1,(2,4),(3,5))
A	(((((1,9),4),5),7),((2,6),8),3)
A	((((1,(5,6)),4),(7,8)),(2,9),3)
A	((1,6),((2,4),5),((3,7),(8,9)))
A	(1,2,((((3,((4,8),9)),6),7),5))
B	(1,(2,4),3)
A	(1,(((2,5),7),(6,8)),(3,4))
A	((((((1,8),7),5),9),(4,6)),2,3)
B	((1,(4,5)),2,(3,6))
B	(1,(2,4),((3,5),6))
B	((((1,4),6),5),2,3)
A	(1,(2,7),((((3,6),(5,8)),4),9))
B	(1,2,(((3,(6,7)),4),5))
B	((1,((5,6),7)),2,(3,4))
A	((((1,4),8),(5,6)),(2,(7,9)),3)
A	((1,(5,6)),((2,4),7),(3,8))
A	(1,2,((((3,(6,8)),7),(4,9)),5))
B	((1,7),((2,5),(4,6)),3)
B	((1,7),((2,((4,6),8)),5),3)
A	(1,2,(((3,4),5),6))
A	((1,(4,6)),((2,(5,9)),(7,8)),3)
B	(1,2,(3,4))
B	(((1,9),(4,(5,6))),(2,7),(3,8))
A	(1,(2,((((4,8),7),5),6)),3)
A	((1,7),2,((3,(((4,5),8),9)),6))
